1 1129 43 0 1 0 0 5.5927e-05
2 2966 104 0 1 1 0 5.607e-05
3 0 0 0 0 0 0 3.7981e-05
4 70 23 1 0 0 0 4.0954e-05
5 2758 223 0 1 0 1 4.4835e-05
6 1641 8 0 1 0 0 3.8079e-05
7 4607 304 1 1 0 1 6.7776e-05
8 4422 57 0 1 1 0 0.000102655
9 3451 353 1 0 1 1 5.2285e-05
10 744 86 1 0 0 0 7.7026e-05
11 4774 331 1 1 1 0 9.5591e-05
12 1538 35 1 1 0 0 0.000163435
13 5798 338 1 1 0 1 4.0051e-05
14 3972 227 1 0 1 1 7.5973e-05
15 4117 291 1 1 0 0 5.7231e-05
16 2698 167 1 1 0 0 4.6602e-05
17 0 0 0 0 0 0 4.4524e-05
18 2453 81 1 0 0 0 9.048e-05
19 3999 189 0 1 0 1 4.1148e-05
20 4919 432 1 1 1 0 6.0295e-05
21 2098 17 1 0 0 0 4.2825e-05
22 1382 103 0 0 0 1 5.6015e-05
23 4485 147 1 1 1 0 4.0931e-05
24 3611 224 0 1 1 1 6.3037e-05
25 3102 562 1 1 0 1 7.0173e-05
26 2551 48 0 1 0 1 4.3044e-05
27 3076 137 1 1 0 0 0.000102453
28 1649 14 0 0 0 1 7.5187e-05
29 2937 173 1 0 0 1 9.5479e-05
30 5798 482 1 1 0 1 0.000111407
31 4506 231 1 0 1 1 3.9494e-05
32 5893 305 1 0 1 1 9.9514e-05
33 2277 47 0 1 0 0 0.000200053
34 2689 112 1 0 0 1 4.1748e-05
35 2356 62 1 0 0 0 0.000122506
36 1209 45 1 0 1 0 6.7817e-05
37 0 0 0 0 0 0 4.321e-05
38 3414 43 1 1 0 0 0.000162349
39 4899 197 0 1 1 1 3.9343e-05
40 2310 144 1 0 1 0 0.000119675
41 2024 13 1 0 0 0 4.3655e-05
42 2625 165 0 1 0 1 9.3814e-05
43 3331 136 1 1 0 0 3.8382e-05
44 3271 223 0 1 1 1 6.3337e-05
45 4966 298 1 1 1 0 4.8128e-05
46 1792 52 1 1 0 0 4.46e-05
47 4753 192 0 0 1 1 6.0451e-05
48 3966 13 0 1 1 0 0.000102419
49 0 0 0 0 0 0 0.000167689
50 2717 44 1 0 0 1 5.5991e-05
51 0 0 0 0 0 0 3.8648e-05
52 3895 212 1 1 0 1 4.4009e-05
53 4212 110 0 0 1 1 7.7105e-05
54 523 65 1 0 0 0 5.4573e-05
55 4588 355 1 0 1 1 0.000115333
56 2986 269 1 0 1 0 4.2603e-05
57 3438 271 0 1 1 0 4.0356e-05
58 2090 70 0 0 1 0 4.2088e-05
59 4343 298 1 0 0 1 6.1381e-05
60 4469 202 0 0 1 1 4.0134e-05
61 0 0 0 0 0 0 0.000113102
62 2537 226 1 0 0 1 5.84e-05
63 1235 43 1 0 0 0 0.000123561
64 4289 297 1 1 1 0 4.1161e-05
65 6226 280 1 1 0 1 6.4189e-05
66 4371 56 1 1 0 0 6.5694e-05
67 3162 358 1 0 0 1 0.000145915
68 4275 447 1 0 1 1 8.9527e-05
69 0 0 0 0 0 0 7.4648e-05
70 5282 388 1 1 0 1 8.2379e-05
71 2301 173 1 0 0 1 9.9231e-05
72 2861 343 1 0 1 1 0.00086031
73 2542 212 1 0 1 0 9.8723e-05
74 0 0 0 0 0 0 8.926e-05
75 2904 214 0 1 1 1 4.3643e-05
76 3721 192 0 0 1 1 4.8087e-05
77 5098 233 1 1 1 0 6.6373e-05
78 3681 393 1 1 0 1 0.000104522
79 5150 167 1 0 1 1 5.5411e-05
80 1548 23 0 0 1 0 0.000127158
81 3244 262 1 1 0 0 3.9335e-05
82 5633 420 1 0 1 1 3.8936e-05
83 0 0 0 0 0 0 5.8439e-05
84 1872 33 0 1 0 0 9.8207e-05
85 6606 294 1 1 1 0 7.7852e-05
86 2533 102 0 1 0 1 5.9413e-05
87 2283 132 0 0 0 1 4.7296e-05
88 161 58 1 0 0 0 5.6479e-05
89 927 167 0 1 0 0 9.5435e-05
90 4527 139 1 1 0 1 5.905e-05
91 3363 341 1 1 0 1 3.8792e-05
92 3770 338 0 1 1 1 8.4583e-05
93 1160 31 0 0 0 1 9.1723e-05
94 1910 177 1 0 0 1 8.0437e-05
95 5212 716 1 0 1 1 5.0125e-05
96 2751 420 1 1 0 1 7.4772e-05
97 3901 83 1 1 0 0 0.000155303
98 1487 225 0 0 1 0 4.4251e-05
99 4088 35 0 1 1 1 0.000121876
100 1936 5 0 0 0 1 7.2388e-05
101 5818 304 0 1 1 1 3.8735e-05
102 3402 91 0 1 1 0 3.9126e-05
103 1289 3 0 0 0 1 7.276e-05
104 2691 192 0 1 0 1 7.4055e-05
105 2173 184 0 1 0 0 9.7259e-05
106 3248 220 0 1 1 0 4.7113e-05
107 3340 237 1 0 0 1 0.000113577
108 3497 192 1 0 1 0 5.9858e-05
109 5201 146 1 1 1 0 0.000108668
110 1867 25 0 0 1 0 7.4167e-05
111 5518 385 0 1 1 1 8.4571e-05
112 2413 42 0 0 1 0 4.3037e-05
113 3499 216 0 1 0 1 4.527e-05
114 3567 413 1 0 1 1 7.7172e-05
115 5403 207 1 1 1 0 7.5568e-05
116 3213 42 1 0 1 0 3.9923e-05
117 2445 221 0 0 0 1 4.1969e-05
118 0 0 0 0 0 0 0.000105329
119 2993 52 0 1 0 1 3.8373e-05
120 3018 131 0 1 1 0 9.0468e-05
